stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
"206328","Northbridge War Memorial, Sailors Bay Rd","-33.810393","151.222","","","1",""
"206329","Northbridge Golf Club, Sailors Bay Rd","-33.811098","151.221092","","","1",""
"206330","Northbridge Public School, Sailors Bay Rd","-33.812078","151.218365","","","1",""
"206331","Sailors Bay Rd opp Tunks St","-33.811744","151.216197","","","1",""
"206333","Sailors Bay Rd at Gunyah St","-33.81139","151.213834","","","1",""
"206335","Sailors Bay Rd at Bellambi St","-33.81087","151.211409","","","1",""
"206336","Sailors Bay Rd opp Gunyah St","-33.811187","151.213464","","","1",""
"206338","Sailors Bay Rd at Tunks St","-33.811537","151.215781","","","1",""
"206339","Sailors Bay Rd opp Namoi Rd","-33.811747","151.217181","","","1",""
"206340","Sailors Bay Rd opp Northbridge Golf Club","-33.810831","151.221208","","","1",""
"206341","Sailors Bay Rd opp Northbridge War Memorial","-33.810184","151.222031","","","1",""
"206342","Kameruka Rd opp Riach Lane","-33.808821","151.220666","","","1",""
"206343","Kameruka Rd opp Coorabin Rd","-33.808194","151.218464","","","1",""
"206344","Kameruka Rd opp Parker St","-33.807205","151.216902","","","1",""
"206345","Kameruka Rd after Lower Bligh St","-33.807325","151.214484","","","1",""
"206346","Kameruka Rd before Kyogle Rd","-33.806783","151.21225","","","1",""
"206347","Harden Ave opp Tenilba Rd","-33.807747","151.210588","","","1",""
"206350","Northbridge Plaza, Eastern Valley Way","-33.808859","151.208356","","","1",""
"206351","Northbridge Plaza, Sailors Bay Rd","-33.810507","151.208942","","","1",""
"206352","Strathallen Ave after Sailors Bay Rd","-33.811308","151.21086","","","1",""
"206353","Strathallen Ave at Baroona Rd","-33.812558","151.21061","","","1",""
"206354","Strathallen Ave at Marana Rd","-33.814148","151.211991","","","1",""
"206355","Strathallen Ave at Cliff Ave","-33.815238","151.212362","","","1",""
"206356","Strathallen Ave opp Marana Rd","-33.814312","151.211865","","","1",""
"206357","Strathallen Ave at Baroona Rd","-33.812849","151.210329","","","1",""
"206358","Strathallen Ave at Sailors Bay Rd","-33.811205","151.210659","","","1",""
"206359","Eastern Valley Way opp Northbridge Plaza","-33.809764","151.207986","","","1",""
"206360","Eastern Valley Way opp Tenilba Rd","-33.806705","151.208642","","","1",""
"206411","Pacific Hwy opp Burley St","-33.811412","151.176036","","","1",""
"206418","Pacific Hwy at Palmer St","-33.807271","151.179721","","","1",""
"206419","Pacific Hwy at Eric Rd","-33.808466","151.1788","","","1",""
"206426","Pacific Hwy opp Cobden Ave","-33.815678","151.178472","","","1",""
"206427","Pacific Hwy at Dickson Ave","-33.817342","151.180997","","","1",""
"206429","Gore Hill Technology Park, Pacific Hwy","-33.819735","151.184397","","","1",""
"206430","TAFE St Leonards, Pacific Hwy","-33.821476","151.186089","","","1",""
"206435","Pacific Hwy opp Allison Ave","-33.814294","151.177728","","","1",""
"206512","Pacific Hwy at Hume St","-33.826323","151.199258","","","1",""
"206513","Pacific Hwy before Christie St","-33.823499","151.196326","","","1",""
"206514","Pacific Hwy after Albany St","-33.824139","151.197647","","","1",""
"206521","St Leonards Station, Pacific Hwy, Stand C","-33.823706","151.193713","","","1",""
"206523","St Leonards Station, Pacific Hwy, Stand A","-33.823205","151.194735","","","1",""
"206524","Pacific Hwy after Shirley Rd","-33.827163","151.200049","","","1",""
"206525","Pacific Hwy before Reserve Rd","-33.824181","151.191772","","","1",""
"206527","Royal North Shore Hospital, Reserve Rd","-33.822339","151.191561","","","1",""
"206528","Pacific Hwy opp Gore Hill Oval","-33.824795","151.190516","","","1",""
"206529","Pacific Hwy at Bellevue Ave","-33.823663","151.187282","","","1",""
"206533","Pacific Hwy opp Dickson Ave","-33.817423","151.180352","","","1",""
"206534","Willoughby Rd after Garland Rd","-33.81371","151.199882","","","1",""
"206535","Willoughby Rd at Dodds St","-33.817914","151.201161","","","1",""
"206536","Willoughby Rd before Dalleys Rd","-33.820042","151.200762","","","1",""
"206537","Willoughby Rd at Atchison St","-33.822794","151.201017","","","1",""
"206538","Willoughby Rd after Holtermann St","-33.825251","151.200947","","","1",""
"206539","Falcon St at Alexander St","-33.827729","151.201657","","","1",""
"206540","Crows Nest, Burlington St, Stand 4","-33.826646","151.201226","","","1",""
"206541","Crows Nest, Burlington St, Stand 5","-33.826686","151.201469","","","1",""
"206542","Alexander St before Hayberry St","-33.828363","151.201873","","","1",""
"206543","Alexander St after Falcon St","-33.827409","151.201939","","","1",""
"206546","Crows Nest, Burlington St, Stand 1","-33.826767","151.201111","","","1",""
"206547","Willoughby Rd opp Holtermann St","-33.824878","151.200818","","","1",""
"206548","Willoughby Rd at Chandos St","-33.822372","151.200847","","","1",""
"206549","St Leonards Catholic Church, Willoughby Rd","-33.819328","151.200861","","","1",""
"206550","Willoughby Rd at Rohan St","-33.817896","151.201002","","","1",""
"206551","Willoughby Rd opp Garland Rd","-33.813987","151.199825","","","1",""
"206594","Pacific Hwy opp Bellevue Ave","-33.823518","151.187478","","","1",""
"206635","Longueville Rd opp Lane Cove Library","-33.814988","151.170045","","","1",""
"206679","Longueville Rd before Birdwood Ave","-33.813635","151.170008","","","1",""
"206681","Lane Cove Aquatic Leisure Centre, Little St","-33.814282","151.1713","","","1",""
"206714","Chatswood Station, Railway St, Stand H","-33.796616","151.180438","","","1",""
"206717","Chatswood Station, Victoria Ave, Stand F","-33.797405","151.179486","","","1",""
"206718","Chatswood Station, Stand B","-33.796108","151.181217","","","1",""
"206719","Anderson St at Endeavour St","-33.795426","151.182687","","","1",""
"206720","Chatswood Station, Stand A","-33.795914","151.181161","","","1",""
